fid,gss,name,hectares,nonld_area,ons_inner,area_name,inner_outer_london,gla_population_estimate_2017,gla_household_estimate_2017,inland_area_hectares,population_density_per_hectare_2017,average_age_2017,proportion_of_population_aged_0_15_2015,proportion_of_population_of_working_age_2015,proportion_of_population_aged_65_and_over_2015,net_internal_migration_2015,net_international_migration_2015,net_natural_change_2015,pc_of_resident_population_born_abroad_2015,largest_migrant_population_by_country_of_birth_2011,pc_of_largest_migrant_population_2011,second_largest_migrant_population_by_country_of_birth_2011,pc_of_second_largest_migrant_population_2011,third_largest_migrant_population_by_country_of_birth_2011,pc_of_third_largest_migrant_population_2011,pc_of_population_from_bame_groups_2016,pc_people_aged_3_whose_main_language_is_not_english_2011_census,overseas_nationals_entering_the_uk_nino_2015_16,new_migrant_nino_rates_2015_16,largest_migrant_population_arrived_during_2015_16,second_largest_migrant_population_arrived_during_2015_16,third_largest_migrant_population_arrived_during_2015_16,employment_rate_pc_2015,male_employment_rate_2015,female_employment_rate_2015,unemployment_rate_2015,youth_unemployment_claimant_rate_18_24_dec_15,proportion_of_16_18_year_olds_who_are_neet_pc_2014,proportion_of_the_working_age_population_who_claim_out_of_work_benefits_pc_may_2016,pc_working_age_with_a_disability_2015,proportion_of_working_age_people_with_no_qualifications_pc_2015,proportion_of_working_age_with_degree_or_equivalent_and_above_pc_2015,gross_annual_pay_2016,gross_annual_pay_male_2016,gross_annual_pay_female_2016,modelled_household_median_income_estimates_2012_13,pc_adults_that_volunteered_in_past_12_months_2010_11_to_2012_13,number_of_jobs_by_workplace_2014,pc_of_employment_that_is_in_public_sector_2014,jobs_density_2015,number_of_active_businesses_2015,two_year_business_survival_rates_started_in_2013,crime_rates_per_thousand_population_2014_15,fires_per_thousand_population_2014,ambulance_incidents_per_hundred_population_2014,median_house_price_2015,average_band_d_council_tax_charge__2015_16,new_homes_net_2015_16_provisional,homes_owned_outright_2014_pc,being_bought_with_mortgage_or_loan_2014_pc,rented_from_local_authority_or_housing_association_2014_pc,rented_from_private_landlord_2014_pc,pc_of_area_that_is_greenspace_2005,total_carbon_emissions_2014,household_waste_recycling_rate_2014_15,number_of_cars_2011_census,number_of_cars_per_household_2011_census,pc_of_adults_who_cycle_at_least_once_per_month_2014_15,average_public_transport_accessibility_score_2014,achievement_of_5_or_more_a_c_grades_at_gcse_or_equivalent_including_english_and_maths_2013_14,rates_of_children_looked_after_2016,pc_of_pupils_whose_first_language_is_not_english_2015,pc_children_living_in_out_of_work_households_2015,male_life_expectancy_2012_14,female_life_expectancy_2012_14,teenage_conception_rate_2014,life_satisfaction_score_2011_14_out_of_10,worthwhileness_score_2011_14_out_of_10,happiness_score_2011_14_out_of_10,anxiety_score_2011_14_out_of_10,childhood_obesity_prevalance_pc_2015_16,people_aged_17_with_diabetes_pc,mortality_rate_from_causes_considered_preventable_2012_14,political_control_in_council,proportion_of_seats_won_by_conservatives_in_2014_election,proportion_of_seats_won_by_labour_in_2014_election,proportion_of_seats_won_by_lib_dems_in_2014_election,turnout_at_2014_local_elections
"1",E09000021,Kingston upon Thames,3726.117,0,F,Kingston upon Thames,Outer London,175400,69848.5231899726,3726.1176,47.0731251209033,37.1,19.6,67.2,13.2,-226,2547,1207,29.8,Sri Lanka,2.19292765213045,India,1.77433462451581,Korea (South),1.42758965387979,30.3986052894923,16.4242005140717,3205,27.4892573183179,Bulgaria,Romania,Poland,74.4,80.9,67.8,4.5,2.0153426082434,3.9,4.63157533600364,15.3,5.9,53.7,37979,41288,33400,43940,42.7022961692532,83700,17.1034482758621,0.81,8970,76.8,58.4556905865354,1.77027827116637,11.0740082889284,410000,1683.24,240,27.7306225446621,38.8624437243713,10.7088578556476,22.4184899492444,36.4,678.439576761416,45.7,70421,1.10656987067679,20.4480690239296,2.92825130600695,68.6,30,39.2893660531697,7.65176852133374,82,84.6,15.3,7.34,7.68,7.41,3.29,16.9056152927121,4.85551121502373,140.5849112,,58.3333333333333,4.16666666666667,37.5,43.0952846468373
"2",E09000008,Croydon,8649.441,0,F,Croydon,Outer London,386500,159010.065249536,8650.3635,44.6802033232476,37,22,64.9,13,-2605,2438,3164,29.4,India,3.63808485929253,Jamaica,2.54280666413487,Ghana,1.47587360819863,49.9178915997702,14.4952677290584,7946,32.2837524885223,Romania,Poland,Italy,75.4,81.8,69.5,4.1,4.80365077458869,3.3,7.78044123024418,17.5,7,40.6,32696,35839,29819,37000,27.1870492243544,141600,20.1188455008489,0.58,15540,75.3,77.035133278963,2.22664543524416,12.7975053078556,300000,1494.13,2040,30.7700110952607,33.5748930099857,16.7227769852592,18.6362339514979,37.1,1237.28743300542,39.9,140049,0.965788566305772,12.7604241418705,3.2240803618998,57.7,86,36.7124510022627,14.1452668937524,80.3,83.6,28.4,7.1,7.57,7.18,3.3,24.4814340588988,6.48370387558271,178.2122819,,42.8571428571429,57.1428571428571,0,38.6007863514599
"3",E09000006,Bromley,15013.487,0,F,Bromley,Outer London,327900,140602.291300525,15013.4892,21.8403594015973,40.2,19.9,62.6,17.5,1342,796,1445,18.3,India,1.12284739101205,Ireland,1.05238661633139,Nigeria,0.743070279774526,18.9481499805181,5.79282136838671,2924,14.3702451394759,Romania,Italy,Spain,75.3,80.4,70.4,5.3,2.53807106598985,4.3,6.01053686921308,15.9,4.3,46.7,37682,42026,32491,43060,28.9725843050377,127800,13.9491046182846,0.6,15695,78.6,64.1335770165996,2.33208955223881,11.2447139303483,374975,1347.27,700,37.7709233909702,34.9168467819404,13.1664265129683,14.145803314121,57.8,1179.80058701758,48,153908,1.17610918372025,12.9767535185026,2.77985888663211,68,40,38.9381745015548,10.2323990898689,81.4,84.9,16.7,7.54,7.86,7.44,3.26,15.9987856709168,5.24238860549534,148.495392,,85,11.6666666666667,0,40.8339780091565
"4",E09000018,Hounslow,5658.541,60.755,F,Hounslow,Outer London,274200,105886.89808478,5597.7912,48.9836062481216,35.8,21.1,67.6,11.3,-3994,4425,2871,46.3,India,10.7451261434022,Poland,4.07746193253189,Pakistan,2.77645428163035,51.6384234979408,28.7301685799979,11336,62.4129406647617,Romania,India,Poland,74.2,84.7,63.2,4.3,2.86871414107324,3.2,6.06731303921731,17.6,6.5,45.5,31001,32235,27226,35330,26.9252682349812,165700,11.7440225035162,1.02,13910,76.2,79.1556627681426,2.11667913238594,12.1323859386687,355000,1355.77,480,25.4560890307935,27.0045308996281,19.18942113374,28.3499589358384,39.6,1277.24334297318,34.5,94042,0.990938020273545,16.0343577062119,3.03052292618941,63.2,45,50.5921219822109,13.4968390585726,80,83.9,25,7.31,7.62,7.4,3.39,24.0912606341841,6.48016977266758,165.8326434,,18.3333333333333,81.6666666666667,0,36.806200741166
"5",E09000009,Ealing,5554.428,0,F,Ealing,Outer London,351600,132662.96647467,5554.4305,63.3008190488656,36.2,21.4,66.8,11.8,-6473,4007,3404,47.4,India,7.62891898040768,Poland,6.35457631725903,Ireland,2.26474298934256,53.4546981792622,33.8784865802475,14927,65.1518259708176,Poland,Romania,Italy,72.7,81.2,63.8,5.8,2.95563230605739,3,7.89573612790307,15.2,9.1,49.7,31331,32185,29875,36070,32.0798567351749,160500,13.5746606334842,0.71,18700,75.8,75.475774758098,1.88853595148715,11.3234190008663,430000,1335.93,720,20.1181391253302,30.2399471675961,14.2801584972116,34.97431758145,30.9,1341.63868490671,40.1,112845,0.909438919424252,15.0358129301063,3.30249643834797,62.1,46,43.6061912997789,13.1306475903614,80.6,84.2,17.8,7.29,7.57,7.26,3.57,23.822791864029,6.91938939093805,163.5409217,,17.3913043478261,76.8115942028985,5.79710144927536,41.1755458009425
"6",E09000016,Havering,11445.735,210.763,F,Havering,Outer London,254300,104098.219686044,11234.9666,22.6346912326379,40.3,19.3,62.3,18.4,1710,604,785,10.9,Ireland,1.0550853173265,India,0.969936602144736,Nigeria,0.944644904565995,15.6984557967809,4.56600874704285,2642,17.0335125656003,Romania,Lithuania,Poland,76.5,81.3,71.8,5.3,3.26774170632947,4,7.01455778628809,18.2,10.5,26,33398,36539,27455,36670,16.9382579453239,91300,20.6809583858764,0.6,10115,75.3,62.9254791804362,2.53267973856209,12.9170751633987,287500,1543.64,1010,35.1547301498165,33.8821924951365,17.2098433645535,13.7532339904936,59.3,1031.88443840009,32.4,117634,1.2102387884649,7.80120568807869,2.50456918804875,59.8,42,38.9161071795802,12.5746620559572,80.2,83.9,22.8,7.39,7.65,7.21,3.28,21.7872968980798,5.90837148384245,159.2808784,,40.7407407407407,1.85185185185185,0,43.0671417294276
"7",E09000017,Hillingdon,11570.063,0,F,Hillingdon,Outer London,301000,110827.48200001,11570.1137,26.0153018202405,36.4,21.3,65.6,13.1,-1616,4139,2458,32.4,India,5.70096664914433,Pakistan,1.76136031773845,Ireland,1.57810583493955,45.6687882522183,18.7622381092336,6993,35.8112191075105,Romania,Poland,India,73.2,80.7,65.9,5.8,2.45692196815829,2.4,6.48319796798345,17.9,8.7,40.2,33508,36107,28778,37040,23.7557275412379,220900,11.4047968673519,1.03,13505,75,76.6197359887869,2.55304585900068,14.708076659822,350000,1388.93,710,22.238195585399,32.9630687906279,16.5529680691478,28.2457675548253,49.2,1713.26148731752,43.8,122486,1.22224439699044,12.2639981802269,2.36309365044419,62,49,29.591186620653,12.3382040311079,80.4,83.9,20.5,7.37,7.68,7.28,3.47,21.0930576070901,6.36347348139505,170.1317055,,64.6153846153846,35.3846153846154,0,36.0635304156899
"8",E09000015,Harrow,5046.33,0,F,Harrow,Outer London,252300,92556.8860454077,5046.2744,49.9972811625147,38.3,20.5,64.5,15,-3644,2833,1933,49.6,India,9.01002275617429,Kenya,4.89676059166053,Sri Lanka,4.3470985877786,61.7623410860564,28.486298921525,10427,65.4136423234484,Romania,India,Poland,73.9,83.1,64.7,4.6,2.43389755503927,1.5,5.44538616445317,13.9,4.2,47.9,33202,,29335,38880,38.8776071909111,88600,14.4594594594595,0.55,15155,76.5,50.3961014414148,1.34062373430539,9.83718104495747,396150,1559.61,910,33.4971166293986,32.7527362598564,8.91098819191087,24.6067239417834,34.6,747.92063891844,45.1,100326,1.19055869369156,8.28524288235746,2.87019599629687,66.4,32,57.6035409421435,9.06999233052119,82.7,86.1,11,7.33,7.42,7.31,2.71,20.1816745655608,8.45795437016747,134.185431,,41.2698412698413,53.968253968254,1.58730158730159,40.6843229529892
"9",E09000005,Brent,4323.27,0,F,Brent,Outer London,332100,121048.274678092,4323.2637,76.8169658492032,35.6,20.9,67.8,11.3,-7739,7640,3372,53.9,India,9.17307970374179,Poland,3.3979724627669,Ireland,2.8504410134473,64.8563392332715,37.1511197794068,22162,100.890910166938,Romania,Italy,Portugal,69.5,76,62.6,7.5,3.07824468465889,2.6,8.25810446001375,17.7,6.2,45.1,29812,30129,29600,32140,17.2585857705923,133600,17.6265270506108,0.61,15745,74.4,78.8018810832619,1.82100683654444,12.0792417650715,407250,1377.24,1050,22.2307068200258,22.6483081181692,20.3646255906075,34.7563594711974,21.9,1175.07323478097,35.2,87802,0.796130061839218,7.87387463772584,3.65371282024408,60.1,45,37.6362067105405,13.7349734059434,80.1,85.1,18.5,7.25,7.35,7.22,2.92,24.3443557582668,7.92034754250218,169.3560552,,9.52380952380952,88.8888888888889,1.58730158730159,36.2719811346825
"10",E09000003,Barnet,8674.837,0,F,Barnet,Outer London,389600,151422.963691412,8674.8314,44.9115356870221,37.3,21.1,64.9,14,-3379,5407,2757,35.2,India,3.06184866970083,Poland,2.41704219582138,Iran,2.03206635501956,38.6637339469721,23.4050365566003,13094,53.1136422637591,Romania,Poland,Italy,68.5,74.5,62.9,8.5,1.93749205945877,2.5,6.20213525441329,14.9,5.2,49,33443,36475,31235,40530,33.1765579911615,167300,18.6666666666667,0.67,26190,73.8,62.7384255245362,1.624,11.1130666666667,445000,1397.07,1460,32.3900727365766,25.1551591797946,11.0749661902847,31.0822763989912,41.3,1415.10736999829,38,144717,1.06475322993614,7.36456886419489,2.99670091731438,67.3,35,46.0096423365848,9.31016708904257,82.1,85.1,12.8,7.48,7.76,7.37,2.75,20.6579314190131,6.02608418461233,133.7696319,,50.7936507936508,,1.58730158730159,40.4809923631914
"11",E09000022,Lambeth,2724.94,43.927,T,Lambeth,Inner London,328900,144399.632673851,2681.0035,122.677945030657,34.5,17.6,74.6,7.8,-1572,4598,3130,32.2,Jamaica,3.21492909603215,Portugal,2.30693598516593,Poland,2.28779950245145,41.5065517204238,20.2544125758411,11259,46.5251778940322,Spain,Italy,Poland,78.5,82.3,74.6,5.9,4.07360195089508,2.2,8.76040297853701,16.1,6.2,65,33441,35995,30173,38490,31.664783847479,184000,23.1438127090301,0.76,17280,63.8,104.623188498037,2.47406475950959,13.3348003772399,450000,1257.35,1350,10.8867517460782,24.9131531795078,29.7926646432881,34.4074304311259,17.3,1091.47557312518,28.3,66791,0.513709745648646,15.9651858372795,5.04710528332301,57.1,73,39.0536199654065,18.1387293774496,78.9,83.3,33.8,7.14,7.46,7.2,3.53,22.9527559055118,4.99338849658736,204.9763642,,4.76190476190476,93.6507936507936,0,34.5003673111035
"12",E09000028,Southwark,2991.34,105.139,T,Southwark,Inner London,314300,134254.370552802,2886.2033,108.897387789696,34.4,18.6,73.5,7.9,-2438,5497,3304,38.4,Nigeria,4.7134239618708,Jamaica,1.95190143019186,Ireland,1.697984272399,45.7155951016186,19.5948278054505,12157,53.5435082295011,Spain,Italy,France,74.2,79.8,68.6,7.7,4.74197135195238,2,8.84831027663632,16.8,7.6,56.8,33864,36712,32696,37100,26.4130463029759,285900,18.7673772011121,1.27,17120,73.4,100.635252492763,2.97457906899967,13.6345328491251,475000,1206.38,1380,10.1242381455807,26.2886780805881,37.2324196993025,26.3546640745287,24.9,1169.14060982336,34.6,60438,0.501885037617711,20.0539671604088,4.87474953286003,61.2,75,29.8016719717374,19.4667474625057,78.9,83.9,27.4,7.47,7.67,7.31,3.42,27.582679849983,5.45255534601489,207.4920795,,3.17460317460317,76.1904761904762,20.6349206349206,36.1715822845614
"13",E09000023,Lewisham,3531.706,16.795,T,Lewisham,Inner London,303400,131075.739746496,3514.9294,86.3175231912197,35,20.6,70.1,9.3,-1536,3683,3239,34.9,Jamaica,3.51487032640412,Nigeria,3.46303713503815,Poland,1.57565652355148,47.4372092426711,16.480461838814,7978,38.3029185690898,Romania,Spain,Italy,75.9,79.6,72.4,5.7,5.97092419522326,3.5,9.82778569953958,16.5,5.8,53.3,33157,,31641,35900,27.8685493022082,90000,24.773413897281,0.4,10405,73.4,76.9795233768957,2.1728650137741,11.9934573002755,352000,1378.66,1540,16.4946483180428,31.7178899082569,28.138379204893,23.6490825688073,22.5,825.060076107088,17.1,76507,0.659026108828419,16.10490451818,4.08988660804234,56.3,69,40.8774829274377,17.934367845332,79,83.4,31.3,7.18,7.63,7.26,3.43,23.5845896147404,6.05701471067024,190.8398302,,0,98.1481481481482,0,37.2037902639248
"14",E09000011,Greenwich,5044.19,310.785,F,Greenwich,Outer London,280100,113964.120758547,4733.3867,59.1753891563518,35,21.9,67.7,10.4,-407,3366,2989,35.4,Nigeria,5.11201813346323,Nepal,1.90644924319504,India,1.71552933134819,40.3155861663356,16.8639702079239,7002,37.6303923728859,Romania,Bulgaria,Italy,72.1,77.9,66.3,8.1,5.35714285714286,5,9.46402755907628,20.2,10.6,42.2,32415,35596,29833,35350,17.4123740818943,94700,27.2606382978723,0.51,10060,72.7,79.3763825338626,2.54402397901836,11.8909704008992,340000,1296.18,1720,19.2422209560918,26.8944476097704,34.1524380157694,19.7108934183683,34.4,1014.29733068437,34.3,78185,0.773764164481172,7.68347862750686,3.4434088511348,58.8,78,44.1442998592558,17.0544876427229,79,82.5,28.1,7.2,7.55,7.2,3.4,27.725531173807,6.1311738295813,193.1989914,,15.6862745098039,84.3137254901961,0,37.2543293018142
