fid,gss,name,hectares,nonld_area,ons_inner,area_name,inner_outer_london,gla_population_estimate_2017,gla_household_estimate_2017,inland_area_hectares,population_density_per_hectare_2017,average_age_2017,proportion_of_population_aged_0_15_2015,proportion_of_population_of_working_age_2015,proportion_of_population_aged_65_and_over_2015,net_internal_migration_2015,net_international_migration_2015,net_natural_change_2015,pc_of_resident_population_born_abroad_2015,largest_migrant_population_by_country_of_birth_2011,pc_of_largest_migrant_population_2011,second_largest_migrant_population_by_country_of_birth_2011,pc_of_second_largest_migrant_population_2011,third_largest_migrant_population_by_country_of_birth_2011,pc_of_third_largest_migrant_population_2011,pc_of_population_from_bame_groups_2016,pc_people_aged_3_whose_main_language_is_not_english_2011_census,overseas_nationals_entering_the_uk_nino_2015_16,new_migrant_nino_rates_2015_16,largest_migrant_population_arrived_during_2015_16,second_largest_migrant_population_arrived_during_2015_16,third_largest_migrant_population_arrived_during_2015_16,employment_rate_pc_2015,male_employment_rate_2015,female_employment_rate_2015,unemployment_rate_2015,youth_unemployment_claimant_rate_18_24_dec_15,proportion_of_16_18_year_olds_who_are_neet_pc_2014,proportion_of_the_working_age_population_who_claim_out_of_work_benefits_pc_may_2016,pc_working_age_with_a_disability_2015,proportion_of_working_age_people_with_no_qualifications_pc_2015,proportion_of_working_age_with_degree_or_equivalent_and_above_pc_2015,gross_annual_pay_2016,gross_annual_pay_male_2016,gross_annual_pay_female_2016,modelled_household_median_income_estimates_2012_13,pc_adults_that_volunteered_in_past_12_months_2010_11_to_2012_13,number_of_jobs_by_workplace_2014,pc_of_employment_that_is_in_public_sector_2014,jobs_density_2015,number_of_active_businesses_2015,two_year_business_survival_rates_started_in_2013,crime_rates_per_thousand_population_2014_15,fires_per_thousand_population_2014,ambulance_incidents_per_hundred_population_2014,median_house_price_2015,average_band_d_council_tax_charge__2015_16,new_homes_net_2015_16_provisional,homes_owned_outright_2014_pc,being_bought_with_mortgage_or_loan_2014_pc,rented_from_local_authority_or_housing_association_2014_pc,rented_from_private_landlord_2014_pc,pc_of_area_that_is_greenspace_2005,total_carbon_emissions_2014,household_waste_recycling_rate_2014_15,number_of_cars_2011_census,number_of_cars_per_household_2011_census,pc_of_adults_who_cycle_at_least_once_per_month_2014_15,average_public_transport_accessibility_score_2014,achievement_of_5_or_more_a_c_grades_at_gcse_or_equivalent_including_english_and_maths_2013_14,rates_of_children_looked_after_2016,pc_of_pupils_whose_first_language_is_not_english_2015,pc_children_living_in_out_of_work_households_2015,male_life_expectancy_2012_14,female_life_expectancy_2012_14,teenage_conception_rate_2014,life_satisfaction_score_2011_14_out_of_10,worthwhileness_score_2011_14_out_of_10,happiness_score_2011_14_out_of_10,anxiety_score_2011_14_out_of_10,childhood_obesity_prevalance_pc_2015_16,people_aged_17_with_diabetes_pc,mortality_rate_from_causes_considered_preventable_2012_14,political_control_in_council,proportion_of_seats_won_by_conservatives_in_2014_election,proportion_of_seats_won_by_labour_in_2014_election,proportion_of_seats_won_by_lib_dems_in_2014_election,turnout_at_2014_local_elections
"15",E09000004,Bexley,6428.649,370.619,F,Bexley,Outer London,244300,97735.8409459576,6058.0668,40.3263958726899,39,20.6,62.9,16.6,413,760,1095,16.1,Nigeria,2.59098177993681,India,1.46682931244801,Ireland,0.906477238929814,21.4062657538051,6.03128896543682,2198,14.4335583515011,Romania,Poland,Nigeria,75.1,82.1,68.5,7.6,2.8537098227696,3.4,6.77681174647369,15.9,10.8,33.5,34350,37881,28924,36990,22.1344799750631,80700,15.8798283261803,0.56,9075,73.5,51.8279415430505,2.26968174204355,11.7550251256281,275000,1472.43,-130,38.0854521625164,35.3184796854522,15.2125819134993,11.3834862385321,31.7,974.621259429549,54,108507,1.1717312427109,10.5570145730096,2.55213357647521,60.3,46,32.6231900325513,12.6221498371336,80.4,84.4,19.5,7.38,7.7,7.21,3.29,22.7093065037729,6.8593834024223,164.2858714,,71.4285714285714,23.8095238095238,0,39.6308293772689
"16",E09000010,Enfield,8220.025,0,F,Enfield,Outer London,333000,130327.742191339,8083.1971,41.1965705995218,36.3,22.8,64.4,12.8,-2077,3164,2769,35,Turkey,4.47024636280427,Cyprus (Not otherwise specified),3.55718702194799,Poland,1.92372930174803,42.2884093875418,22.8531502358142,9259,43.7577092302821,Romania,Bulgaria,Poland,73,80.4,66,3.8,3.34030636345232,3.1,9.25816528589725,18.4,4.5,43.4,31603,35252,30222,33110,22.4359565877852,128800,21.6535433070866,0.62,13925,74.2,69.3739002383597,2.22837796244998,12.1600492459218,320000,1420.17,670,25.5976645515531,36.2107953986825,17.1959492675253,20.9955907822391,45.6,1245.04247311283,38.5,119653,0.997806798091998,7.8827157024441,2.97148779846641,59.9,43,55.3252637982756,17.3518175371171,80.7,84.1,24.6,7.26,7.57,7.33,2.6,25.1878725058305,7.04238238338663,151.9680419,,34.9206349206349,65.0793650793651,0,38.1794888891006
"17",E09000031,Waltham Forest,3880.793,0,F,Waltham Forest,Outer London,276200,105980.708815462,3880.7963,71.1709604546881,35.1,21.8,67.9,10.3,-5787,5814,3125,37.2,Pakistan,4.92083222006668,Poland,3.17406843782551,Romania,1.66157468179935,49.9096430828606,26.4350908646402,15452,83.8870792616721,Romania,Bulgaria,Poland,73.1,76.8,69.4,5.4,3.45220030349014,3,8.05646036916395,15.5,11.6,42.6,30859,33126,,33080,19.2418176121379,84500,23.0344827586207,0.46,11020,71,78.0106622723357,2.16426193118757,11.6559378468368,366569,1474.18,970,20.6067799829076,29.2431867818821,19.8851011299972,30.0123445066945,31.4,780.340911975767,35.5,76217,0.786869844416225,12.8740655593529,3.58814207853362,58.3,43,62.3975556126674,15.0762629676433,79.4,83.8,26.2,7.19,7.5,7.12,3.14,26.2931034482759,6.41358532778117,185.253767,,26.6666666666667,73.3333333333333,0,37.6145692413846
"18",E09000026,Redbridge,5644.225,2.3,F,Redbridge,Outer London,304200,110707.881123896,5641.8997,53.9180092123935,35.8,22.8,65,12.2,-2912,3685,2960,40.2,India,7.55708499121769,Pakistan,5.34322687027279,Sri Lanka,2.5981288310571,62.7008127959831,24.5785207242977,10534,54.5721109263375,Romania,India,Bulgaria,68.3,79.1,57.6,7.9,4.1286771030449,3.3,5.95765403125955,17.1,10.2,44.7,33483,39272,29204,36860,25.1786195828162,90700,22.9357798165138,0.47,14595,74.7,69.6876561025698,1.91191532946398,11.2963468760669,345000,1415.22,50,29.5143736798768,34.8897361543694,11.3136791608492,24.0665163068772,40.6,874.015739391308,28.7,106339,1.07299328994501,11.7546119136083,2.9821474886538,68.7,28,66.5268650947043,9.83444714459295,80.9,84.6,18.5,7.32,7.57,7.3,3.2,23.2937275490467,7.91015835286387,141.8845234,,39.6825396825397,55.5555555555556,4.76190476190476,39.7020716217556
"19",E09000029,Sutton,4384.698,0,F,Sutton,Outer London,202600,85243.1254828268,4384.6981,46.206145868971,38.9,20.7,64.3,15.1,161,568,1269,23.1,Sri Lanka,1.78073690742903,India,1.68081369053254,Ireland,1.23010739116258,25.0467412894898,10.0213839236758,2070,16.0900420517524,Romania,Bulgaria,Poland,78.2,86.2,70.5,5.5,2.27608967793331,3.2,5.13793130251611,14.4,4.3,42.5,32697,36636,28540,39940,23.5084785556121,78600,18.8652482269504,0.62,8710,76,55.8561409598089,2.04328132863614,11.2702566683442,320000,1486.03,390,25.7049918066867,41.7712231271553,11.6051556729523,20.5321984983002,32,665.59702042614,37.6,91266,1.16747256120961,9.42939130565425,2.85408565613237,67.4,50,34.2675973783769,9.61399897066392,80.9,83.4,17.3,7.46,7.7,7.26,3.22,18.3803942461375,5.85601956094141,163.1713522,,16.6666666666667,0,83.3333333333333,42.6465255970828
"20",E09000027,Richmond upon Thames,5876.111,135.443,F,Richmond upon Thames,Outer London,197300,85107.9768104286,5740.6785,34.3687597206497,38.8,20.7,64.5,14.8,-1192,913,1391,23.7,Ireland,1.76212631691534,South Africa,1.42841863201241,United States,1.40167923418365,15.6747968804468,10.441282855076,2580,20.5541658036041,Italy,Poland,Romania,79.6,82.1,77.2,3.8,2.40943835161183,4.3,4.38966874332786,10.8,3.2,69.5,42076,,38499,53470,48.6835394029496,95900,11.2244897959184,0.81,14185,78.8,56.3478169989287,1.54203197524497,9.68024755028365,575000,1582.39,510,30.936758171526,38.4442144987522,8.67977357112423,21.9392537585976,50.8,790.208514558454,41.2,84918,1.06366881693493,33.1320453239022,3.05746369742755,70.5,26,53.4668382560658,5.65314388442461,82.4,86,12.6,7.54,7.75,7.33,3.2,12.5732551944592,3.69002365537874,137.4166958,,72.2222222222222,0,27.7777777777778,46.1303521005014
"21",E09000024,Merton,3762.466,0,F,Merton,Outer London,208100,84201.1633589448,3762.4738,55.3093552438824,36.7,20.6,67.2,12.2,-2060,1077,2029,37.4,Poland,3.45280004807379,Sri Lanka,3.16836343787714,South Africa,2.83435072836805,36.7397672473961,21.0671916010499,6684,48.5981852024197,Poland,Romania,Bulgaria,78.8,86.3,71.4,4.6,3.8560411311054,4.3,5.73667985109353,13.5,4.7,58,33989,,30722,41960,21.991513257224,96800,12.2347066167291,0.71,12070,78.4,59.7471742863751,1.84772065955383,10.3612997090204,415000,1382.45,510,21.7441427174065,32.7355722204108,16.2280497461456,29.2922353160371,34.6,690.710829243524,37.5,72777,0.92407024137537,14.4277543981473,3.40558824969307,67.8,35,34.1909322892998,10.4395376776171,80.4,84.2,19.7,7.28,7.54,7.13,3.56,19.2150866462793,5.57344073981971,161.8031509,,33.3333333333333,60,1.66666666666667,41.2922688273907
"22",E09000032,Wandsworth,3522.022,95.6,T,Wandsworth,Inner London,321000,138148.867888198,3426.417,93.6838686009321,35,17.8,72.8,9.3,-2507,1296,3574,32.8,Poland,2.21958012345478,South Africa,2.10687470479975,Ireland,1.88309255851072,29.6515226548515,17.4203017270803,9965,43.4898356420261,Italy,Spain,Australia,78.8,86.6,71.6,5.7,2.59919720997565,2.9,5.92229874222071,11.4,4.3,66.4,41064,,36247,47480,34.5679953538137,134100,21.3913043478261,0.62,18695,75.8,72.5598680905332,1.83031458531935,10.0692723228472,557000,679.91,2740,17.7485906467839,30.472401863828,19.3323999377736,31.1702261632257,26.9,1038.4923989973,20.7,89513,0.68596016644571,30.669033493717,4.259022636602,63,41,50.7714110864174,12.7175473752308,79.5,83.7,19.3,7.37,7.63,7.37,3.59,19.3419740777667,4.19856854864851,176.5526503,,68.3333333333333,31.6666666666667,0,36.8565434198326
"23",E09000013,Hammersmith and Fulham,1715.409,75.648,T,Hammersmith and Fulham,Inner London,185300,83552.373571646,1639.7453,113.005355160951,35.7,17.4,72.3,10.3,-3361,2926,1462,43.2,France,2.72722789367263,Ireland,2.66969144021962,Australia,2.52119259368853,33.7407847908511,22.6873845907581,9256,71.3971660200091,Italy,France,Spain,77.5,80.9,74.2,4.7,2.21901697547986,2.5,8.40012033230228,12.9,4.9,67.5,38041,43845,34808,43820,30.4818903648726,149500,16.4373088685015,1.18,14095,73.4,113.227187508744,1.99556541019956,12.2062084257206,730000,1003.81,370,19.0892703758816,21.8379123870359,25.9366796114156,33.1361376256669,19.1,809.30431273736,20.7,43843,0.544025313314307,20.0709576335413,4.66903927260792,60.5,58,48.8898847109626,16.0581899566373,79.7,84.1,22.4,7.41,7.53,7.16,3.09,21.3181448331977,4.41130118240843,187.4393004,,43.4782608695652,56.5217391304348,0,37.6267577586471
"24",E09000020,Kensington and Chelsea,1238.379,25.994,T,Kensington and Chelsea,Inner London,159000,80199.8730682176,1212.4013,131.144696067218,39.3,16.4,69.3,14.3,-1741,2234,1047,51.9,United States,4.97702475275608,France,4.19731608771565,Italy,2.72425291051315,29.9620307155034,27.955429206287,7237,66.2455947640624,Italy,France,Spain,68.2,76.3,60.4,4.2,3.36433801701959,3.6,7.21314476635086,14.3,5.2,65.2,,,,55620,31.0786734933209,143500,14.7292993630573,1.36,14350,74.5,120.904405054179,2.02182284980745,12.7374839537869,1200000,1058.58,380,22.6416823800545,15.1490152943641,29.1182170542636,33.0910852713178,15.1,1153.79999118823,25.3,44536,0.567077518590201,16.9183704848568,5.79306967814483,68.7,37,45.8245830759728,10.9601052170101,83.3,86.4,14.2,7.61,7.8,7.56,3.1,18.5840707964602,4.18018887926292,136.3382339,,74,24,2,29.8144306778046
"25",E09000033,Westminster,2203.005,54.308,T,Westminster,Inner London,242100,118975.368247283,2148.698,112.672883764959,37.7,15.9,72.3,11.7,-3273,10763,1522,49.8,United States,3.56022899232438,France,2.58664697624387,Iraq,2.07296395558716,38.7911312864803,30.8288427237932,12613,71.9603827085128,Italy,France,Spain,65.6,68.6,62.3,8.8,3.45690785552509,2.2,7.62222082760431,17.5,4.5,63.6,42141,46627,39132,47510,23.943290769501,730700,13.4205983889528,4.3,55385,68.8,212.413099924617,4.00865800865801,19.9060606060606,920000,669.07,910,17.1279400722904,11.6013899317257,27.8379227854511,43.3026593794199,38.2,2502.04595758536,19.1,48810,0.461464281662444,15.7537846307046,6.46879952027601,65.7,39,52.6281832327603,15.7664689353731,82.3,86.3,15.4,7.25,7.45,7.13,3.43,24.9422632794457,4.35360541229949,161.5303837,,73.3333333333333,26.6666666666667,0,32.3477935192054
"26",E09000007,Camden,2178.932,0,T,Camden,Inner London,242500,107654.135265371,2178.9295,111.293183189268,36.4,17.3,71,11.7,-2917,7504,1618,41.4,United States,2.84290499142227,Bangladesh,2.69903511877207,Ireland,2.36500285924353,34.5933768770758,23.463263064091,10384,60.6971048462991,Italy,France,Spain,69.2,72.2,66.1,4,3.63115145723841,4.4,8.52822380303836,21.3,6.1,61.1,39796,,36632,43750,21.9178876997708,377400,12.3919308357349,2.23,31385,73.6,123.498709292658,2.69576379974326,14.8031664527172,700000,1359.66,970,18.5422429717584,15.1115236511015,34.3853103087004,31.9609230684398,24.8,1288.31786954661,26.3,46601,0.477792359587426,18.8181402992416,5.69026856644701,62.7,41,25.2327138009402,16.4948880334451,81.8,86.7,16.8,7.14,7.38,7.11,3.61,21.3266761768902,3.858989428197,163.7516123,,22.2222222222222,74.0740740740741,1.85185185185185,38.6794640556558
"27",E09000030,Tower Hamlets,2157.501,179.707,T,Tower Hamlets,Inner London,304000,123719.867365051,1978.1276,153.680682681946,31.4,20.1,73.9,6,-2798,10532,3509,38.6,Bangladesh,15.3001227882375,India,1.53052389648007,China,1.38609029658082,54.0162265456429,34.1959334565619,17580,80.5372817064008,Italy,France,Spain,70.4,80.3,59.6,9.2,3.19014355646004,3.4,8.48435982481538,15.4,10,45.7,36429,38461,32657,34930,20.6398546043045,280100,16.1179173047473,1.35,18390,69.7,99.8754076734215,3.48306595365419,11.8370766488414,415000,1196.85,2390,7.04031863987977,19.7951337347065,41.639852112741,31.5246955126728,15.2,1703.46799443055,28.1,43589,0.430478880472461,22.4398911105996,5.02221988137503,59.2,47,51.0667494364034,21.8806828180912,78.1,82.5,18.1,7.22,7.39,7.2,3.26,27.1037868162693,6.64996466966091,238.7155231,,11.1111111111111,48.8888888888889,0,47.1976677026321
"28",E09000019,Islington,1485.664,0,T,Islington,Inner London,231200,105038.062510087,1485.6656,155.620484178943,34.8,15.9,75.3,8.8,-1480,6295,1819,36.6,Ireland,2.75463917525773,Turkey,1.83238326258338,United States,1.52431776834445,32.024037101968,19.8574805094013,9302,54.2634302281491,Italy,France,Spain,72.6,78.2,67,4.5,4.46280991735537,5.2,10.4536730777084,14.6,6.2,62.7,36592,38284,,39790,31.1286371121662,231500,14.5131086142322,1.45,22110,72.5,121.223923919747,2.55444646098004,13.9301270417423,583000,1296.15,1030,15.3618014035684,23.543301880555,35.2790607614784,25.4625825281233,12.4,877.751123453562,32.8,38629,0.412897088374877,21.3568123694434,5.74292410134513,59.9,88,57.5508852000442,23.4257164404223,79,83.5,20.2,7.17,7.42,7.06,3.7,22.8464419475655,5.00814850538972,202.8098394,,0,97.9166666666667,0,38.3798508519983
"29",E09000012,Hackney,1904.902,0,T,Hackney,Inner London,274300,115416.954834354,1904.9025,143.996871230942,33.1,20.7,72.1,7.2,-738,3359,3236,35.8,Turkey,3.64721646972835,Nigeria,2.71734275388801,Jamaica,1.80452349047793,43.6448331398106,24.0877220683563,8927,46.0157011118614,Italy,France,Spain,69,72.8,65.3,5.9,4.83073411943705,3,10.6753127593441,17.9,10.8,49.2,32056,,31919,35140,29.6391755008503,132800,18.0790960451977,0.7,18510,76.8,99.6468243329875,2.6605504587156,11.4533639143731,485000,1294.42,830,11.0778524833277,19.7547150928462,45.4350258841083,23.2720424335611,23.2,812.60090101715,25.3,41800,0.41105320090471,25.2152717619919,4.91668194452509,60.6,53,44.1575505714111,19.6977282683522,78.5,83.3,24.7,7.03,7.31,6.99,3.76,27.0024772914946,5.77477024624916,210.5852045,,7.01754385964912,87.719298245614,5.26315789473684,39.3925724596305
"30",E09000014,Haringey,2959.837,0,T,Haringey,Inner London,278000,115607.819864738,2959.8387,93.9240371443214,35.1,20,70.7,9.3,-4233,6675,2885,39.6,Poland,4.26202113554522,Turkey,3.96036496865757,Jamaica,2.0260781560139,38.1539074394497,29.7148951880871,15144,78.4785199771985,Romania,Italy,Bulgaria,71.3,77.6,64.8,5.7,5.6434373663959,3.5,9.67507902782816,16.3,8.8,49.2,31063,,29513,35420,29.8489512578377,91500,17.8062678062678,0.48,12675,74.4,90.2136028490504,2.09189391109451,12.2902502801644,432500,1484.01,240,17.9512945862756,24.7474198804997,33.3568712656165,23.9444142676082,25.5,772.544135695905,37.3,61515,0.603354421068118,14.0917923476786,4.30836779668483,59.7,67,48.0143213831441,16.9125246640985,80.1,84.9,22.6,7.24,7.5,7.19,3.18,23.8239757207891,5.89087570948652,183.383346,,0,84.2105263157895,15.7894736842105,38.1039241148249
"31",E09000025,Newham,3857.806,237.637,T,Newham,Inner London,342900,119172.195650694,3619.839,94.7279699456247,32.1,22.7,70.2,7,-7273,11182,4616,54.1,India,8.70402358564081,Bangladesh,6.80067795729648,Pakistan,5.34508286144735,73.0568881183787,41.3863390744059,25604,109.555044949061,Romania,India,Bulgaria,66.2,75,56.1,9.1,4.11647695877998,4.3,8.01851875623104,12.7,11,43.4,27942,30141,24006,28780,8.41745963874744,111100,23.0929989550679,0.48,11055,70,90.8188180135564,2.51838235294118,12.2386642156863,305000,1240.54,1440,9.3795019107511,16.7266202565496,31.4199943065656,42.4738835261337,23.9,1261.00466685375,17.2,61092,0.601778977334292,5.57195298093775,3.90577618172765,55.7,42,58.7895773788051,15.4390113575643,78.5,83,22.5,7.12,7.43,7.18,3.37,27.5862068965517,7.64623488700457,193.3989173,,0,100,0,40.5089920213448
"32",E09000002,Barking and Dagenham,3779.934,169.15,F,Barking and Dagenham,Outer London,209000,78188.3767233324,3610.7817,57.8822031805467,32.9,27.2,63.1,9.7,-1176,2509,2356,37.8,Nigeria,4.67696908735901,India,2.34735975816385,Pakistan,2.33283667991673,49.5317633723421,18.7242009080135,7538,59.1396584053161,Romania,Bulgaria,Lithuania,65.8,75.6,56.5,11,4.49666376559327,5.7,10.5287107428939,17.2,11.3,32.2,27886,30104,24602,29420,20.5297060266934,58900,21.1045364891519,0.48,6560,73,83.3590598501688,3.03015075376884,13.6693467336683,243500,1354.03,730,16.4379110452572,27.3544932283137,35.917232056981,20.2903636694481,33.6,643.788243800288,23.4,56966,0.817525580861354,8.78045207738247,2.97062585676465,58,69,41.6678287547065,18.7186965066886,77.6,82.1,32.4,7.14,7.6,7.05,3.05,28.5419532324622,7.272107818489,227.6049335,,0,100,0,36.4973624483915
"33",E09000001,City of London,314.942,24.546,T,City of London,Inner London,8800,5325.81769038184,290.3934,30.3037190239172,43.2,11.4,73.1,15.5,-7,665,30,,United States,2.77966101694915,France,1.99322033898305,Australia,1.85762711864407,27.4674871295318,17.1381031613977,975,152.224824355972,India,France,United States,64.6,,,,1.63398692810458,,3.43481654957065,,,,,,,63620,,500400,3.42498794018331,84.29,26130,64.3,,12.2784810126582,,799999,931.2,80,,,,,4.8,1036.10936150238,34.4,1692,0.385860889395667,16.8531753275017,7.86230233310163,78.6,101,,7.90861159929701,,,,6.59,7.08,5.99,5.57,,2.63794513426049,128.8330524,,,,,
